ISSN,e-ISSN,p-ISSN,SourceID,Acronym,JournalTitle,ASJCScopus,ASJCMarketing
1896-1126,1898-4002,1896-1126,6300153123,ADVMS,Advances in Medical Sciences,2700,
2161-8313,2156-5376,,21100202730,ADVNUT,Advances in Nutrition,1106;2701;2916,
0309-1708,1872-9657,0309-1708,19627,ADWR,Advances in Water Resources,2312,
1352-2310,1878-2442,1352-2310,23357,AEA,Atmospheric Environment,2300;1902,
1563-0110,,,4900152805,AEAE,"Archaeology, Ethnology and Anthropology of Eurasia",1204;3316,
2590-1621,2590-1621,,21100894508,AEAOA,Atmospheric Environment: X,2300;1902,
2214-4625,,,,AEBJ,Arab Economic and Business Journal,,
2950-273X,2950-273X,,,AEHS,Advanced Exercise and Health Science,,
1110-0168,2090-2670,1110-0168,13907,AEJ,Alexandria Engineering Journal,2200,
1137-8174,,,19900192516,AELFA,Boletín de AELFA,3616,
1875-9637,2212-1684,1875-9637,18400156701,AEOLIA,Aeolian Research,1907;1904,
1047-2797,1873-2585,1047-2797,19569,AEP,Annals of Epidemiology,2713,
1464-343X,1879-1956,1464-343X,31815,AES,Journal of African Earth Sciences,1907;1904,
1270-9638,1626-3219,1270-9638,12507,AESCTE,Aerospace Science and Technology,2202,
2950-3388,2950-3388,,,AETS,Aerospace Traffic and Safety,,
1434-8411,1618-0399,1434-8411,17683,AEUE,AEUE - International Journal of Electronics and Communications,2208,
1405-8871,,,21100854854,AF,Atención Familiar,2739;2714,
2211-419X,2211-4203,2211-419X,19900194818,AFJEM,African Journal of Emergency Medicine,2711;2907;2906;1906;2909,
1110-5704,,,21100241657,AFJU,African Journal of Urology,2748,
1879-7261,1879-727X,1879-7261,19900193907,AFORL,Annales françaises d’oto-rhino-laryngologie et de pathologie cervico-faciale,2746;2733,
2405-5255,2405-5263,2405-5255,,AFOS,Osteoporosis and Sarcopenia,,"2712;2732;2737
"
2772-5022,2772-5022,,21101092012,AFRES,Applied Food Research,1106,"1106
"
2950-1962,2950-1962,,,AFTRAN,African Transport Studies,,
0883-2927,1872-9134,0883-2927,24615,AG,Applied Geochemistry,2304;2310;1906,
0169-5150,,,73771,AGECON,Agricultural Economics,1102;2002,
0167-8809,1873-2305,0167-8809,15110,AGEE,"Agriculture, Ecosystems and Environment",2303;1103;1102,
2666-1276,,,,AGEEX,"Agriculture, Ecosystems & Environment: X",,
0167-4943,1872-6976,0167-4943,28541,AGG,Archives of Gerontology and Geriatrics,3306;1302;2909;2717,
2950-3078,2950-3078,,,AGGP,Archives of Gerontology and Geriatrics Plus,,1302;2717;2901;2909;3306
0890-4065,1879-193X,0890-4065,29194,AGISTU,Journal of Aging Studies,3306;1200;3300;3319,
2667-1115,2667-1115,,,AGLOBE,Asia and the Global Economy,,"2002
"
0168-1923,1873-2240,0168-1923,12067,AGMET,Agricultural and Forest Meteorology,2306;1107;1102;1902,
2949-7981,2949-7981,,,AGRCOM,Agriculture Communications,,
0308-521X,1873-2267,0308-521X,15061,AGSY,Agricultural Systems,1103;1102,
0378-3774,1873-2283,0378-3774,35824,AGWAT,Agricultural Water Management,1102;2312;1111;1904,
2666-6022,2666-6022,,,AHJO,American Heart Journal Plus: Cardiology Research and Practice,,"2705
"
2590-1818,,,,AHJX,American Heart Journal: X,,
2667-0321,2667-0321,,21101143781,AHR,Aging and Health Research,2701;2719;2717,"1302;2717
"
2667-1360,2667-1360,,,AIA,Advances in Archaeomaterials,,
2949-7477,2949-7477,,,AICHEM,Artificial Intelligence Chemistry,,1602;1605;1606;1607
2351-9797,,,,AIDM,Advances in Digestive Medicine,,
1166-3413,2772-8048,1166-3413,27073,AIDSOI,L'aide-soignante,2900,
2542-5048,2542-5048,,21101048278,AIEPR,Advanced Industrial and Engineering Polymer Research,1501;2501;2507;2209,
2589-7217,2589-7217,,21101042196,AIIA,Artificial Intelligence in Agriculture,1701;2201;1100;1706;1702,
2666-5441,2666-5441,,21101107176,AIIG,Artificial Intelligence in Geosciences,2207;1903;1901;1702,
2667-3185,2667-3185,,,AILSCI,Artificial Intelligence in the Life Sciences,,"1702;3002
"
2666-9129,2666-9129,,21101055806,AIME,Advances in Industrial and Manufacturing Engineering,2201;2211;2210;2209,"2209;2200;2201;2210
"
2212-9588,2212-9596,2212-9588,21100274755,AIMED,Advances in Integrative Medicine,2707,
1069-417X,,,54564,AIN,Antimicrobics & Infectious Diseases Newsletter,3004;2726,
2666-6510,2666-6510,,21101101212,AIOPEN,AI Open,1712;1710;1709;1707;1706;1702,
0197-4556,1873-5878,0197-4556,12054,AIP,The Arts in Psychotherapy,3601;3203;2738,
2007-4719,,,,AIPPRR,Acta de Investigación Psicológica,,
1369-8869,,,87779,AIRDES,Aircraft Design,2202,
2468-824X,,,21100831489,AJA,Asian Journal of Anesthesiology,2700,
0002-9149,1879-1913,0002-9149,22415,AJC,The American Journal of Cardiology,2705,
0002-9165,1938-3207,0002-9165,29990,AJCNUT,The American Journal of Clinical Nutrition,2701;2916,
1687-1979,2090-2387,1687-1979,17700156743,AJG,Arab Journal of Gastroenterology,2715,
1543-5946,,,75223,AJGP,American Journal of Geriatric Pharmacotherapy,2717;2736,
0895-7061,,,22420,AJH,American Journal of Hypertension,2724,
0002-9297,1537-6605,0002-9297,21677,AJHG,The American Journal of Human Genetics,1311;2716,
1878-5263,,,,AJHS,Asian Journal of Health Sciences,,
0002-9343,1555-7162,0002-9343,31445,AJM,The American Journal of Medicine,2700,
2090-5068,,,,AJME,Alexandria Journal of Medicine,,
2667-0364,2667-0364,,,AJMO,American Journal of Medicine Open,,"2724;2700
"
1548-2766,,,,AJMS,American Journal of Medicine Supplements,,
1319-5166,,,21100922609,AJMSC,Arab Journal of Mathematical Sciences,2600,
2451-9936,2451-9936,,21100780466,AJOC,American Journal of Ophthalmology Case Reports,2731,
2589-9333,2589-9333,,21101034398,AJOGMF,American Journal of Obstetrics & Gynecology MFM,2729,
2950-2535,2950-2535,,,AJOINT,AJO International,,2731;3610
0002-9394,1879-1891,0002-9394,13266,AJOPHT,American Journal of Ophthalmology,2731,
1876-2018,1876-2026,1876-2018,12300154709,AJP,Asian Journal of Psychiatry,3200;2738,
0002-9440,1525-2191,0002-9440,27062,AJPA,The American Journal of Pathology,2734,
2666-6677,2666-6677,,21101159003,AJPC,American Journal of Preventive Cardiology,2705,"2705
"
0002-9459,1553-6467,,19444,AJPE,American Journal of Pharmaceutical Education,3304;3611;3000,
1818-0876,2221-285X,1818-0876,19700175119,AJPS,Asian Journal of Pharmaceutical Sciences,3004;3003,
0002-9610,1879-1883,0002-9610,20442,AJS,The American Journal of Surgery,2746,
2667-2391,2667-2391,,21101093327,AJSEP,Asian Journal of Sport and Exercise Psychology,3301;3202;2805,
2092-5212,2352-4871,2092-5212,21100235632,AJSL,The Asian Journal of Shipping and Logistics,1403;3313;1803;1405,
1568-4849,2212-3857,,24798,AJSS,Asian Journal of Social Science,3300,
1600-6135,1600-6143,1600-6135,20443,AJT,American Journal of Transplantation,2723;2747;2736,
2090-598X,,,19900193844,AJU,Arab Journal of Urology,2748,
2214-3882,2214-3890,2214-3882,21100827522,AJUR,Asian Journal of Urology,2748,
0972-8600,,,19900193225,AKCEJ,AKCE International Journal of Graphs and Combinatorics,2607,
2949-8139,2949-8139,2949-8147,,AKDH,Advances in Kidney Disease and Health,,
0741-8329,1873-6823,0741-8329,24785,ALC,Alcohol,3306;1303;3005;2808;2802,
1040-2608,1040-2608,1040-2608,5600155894,ALCR,Advances in Life Course Research,2700,
2353-3854,,,,ALERGO,Alergologia Polska- Polish Journal of Allergology,,
2211-9264,2211-9264,,21100201089,ALGAL,Algal Research,1102,
1323-8930,1440-1592,1323-8930,20184,ALIT,Allergology International,2723,
0867-4361,,,,ALKONA,Alcoholism and Drug Addiction,,
0301-0546,,,20179,ALLER,Allergologia et Immunopathologia,2723;2403;2740,
0090-7421,,,21890,ALLHEA,Journal of Allied Health,2739,
2078-1520,,,,ALS,Achievements in the Life Sciences,,
1875-0672,,,11700154364,ALTER,"Alter - European Journal of Disability research, Revue européenne de recherche sur le handicap",3306;2732;2719;2739;2738,
1359-6454,1873-2453,1359-6454,28583,AM,Acta Materialia,2504;2503;2507;2506,
2213-6657,2213-6665,2213-6657,21100261712,AMAR,Analytic Methods in Accident Research,3313;3311,
0252-9602,,,24531,AMASCI,Acta Mathematica Scientia,2600;3100,
0966-6532,,,20434,AMBSUR,Ambulatory Surgery,2746;2914;2703,
0096-3003,1873-5649,0096-3003,25170,AMC,Applied Mathematics and Computation,2605;2604,
1261-694X,2405-4313,1261-694X,22458,AMCP,Archives des Maladies du Coeur et des Vaisseaux – Pratique,2705,
1870-4654,,,21100401234,AMDI,Anuario Mexicano de Derecho Internacional,3308,
1098-2140,,,24734,AMEEVA,American Journal of Evaluation,1403;3207;3306;3304;3312;1408,
0749-3797,1873-2607,0749-3797,27063,AMEPRE,American Journal of Preventive Medicine,2713;2739,
0003-4487,1769-6631,0003-4487,29521,AMEPSY,Annales médico-psychologiques,1201;3202;2738,
0002-9270,,,27825,AMGAST,The American Journal of Gastroenterology,2721;2715,
1064-7481,1545-7214,1064-7481,28534,AMGP,The American Journal of Geriatric Psychiatry,2717;2738,
1067-5027,,,23600,AMIA,Journal of the American Medical Informatics Association,2718,
1441-3582,,,17700155010,AMJ,Australasian Marketing Journal (AMJ),2002;1406,
0002-9629,1538-2990,0002-9629,27086,AMJMS,The American Journal of the Medical Sciences,2700,
0893-9659,1873-5452,0893-9659,25184,AML,Applied Mathematics Letters,2604,
2666-1179,,,,AMLX,Applied Mathematics Letters: X,,
2949-6888,2949-6888,,,AMOLM,Aspects of Molecular Medicine,,1300;1301;1308;1313
2215-0390,2215-0390,,6000159317,AMPER,Ampersand,1203;3310,
2049-0801,2049-0801,,21100283772,AMSU,Annals of Medicine and Surgery,2746,
1081-1206,1534-4436,1081-1206,20649,ANAI,"Annals of Allergy, Asthma & Immunology",2723;2403;2740,
0003-3928,1768-3181,0003-3928,22442,ANCAAN,Annales de cardiologie et d'angéiologie,2705,
2213-3054,2213-3054,,21100255737,ANCENE,Anthropocene,2306;2303;1901,
2214-1812,,,21100356814,ANCR,Analytical Chemistry Research,1602;1303,
1646-706X,,,,ANCV,Angiologia e Cirurgia Vascular,,
0003-4266,2213-3941,0003-4266,25391,ANDO,Annales d'Endocrinologie,2712;1310,
1698-031X,1698-0409,1698-031X,7200153142,ANDROL,Revista Internacional de Andrología,2743;2748,
0306-4549,1873-2100,0306-4549,29363,ANE,Annals of Nuclear Energy,2104,
2352-4065,2352-4065,,21101037915,ANGEN,Animal Gene,1305;1104;1103;1311;1109,
0003-3170,,,74991,ANGIO,Angiología,2705,
0377-8401,1873-2216,0377-8401,62303,ANIFEE,Animal Feed Science and Technology,1103,
0246-0203,,,23212,ANIHPB,Annales de l'Institut Henri Poincare / Probabilites et statistiques,2613;1804,
0294-1449,,,23200,ANIHPC,Annales de l'Institut Henri Poincaré / Analyse non linéaire,2603;2610;2604,
1751-7311,1751-732X,,5300152613,ANIMAL,animal,1103,
2405-6545,2405-6383,2405-6545,21100823377,ANINU,Animal Nutrition,3403;1103,
0378-4320,1873-2232,0378-4320,36360,ANIREP,Animal Reproduction Science,3403;1103;1310,
0385-8146,1879-1476,0385-8146,13641,ANL,Auris Nasus Larynx,2746;2733,
2666-9579,2666-9579,,21101074921,ANNALE,Annals of Tourism Research Empirical Insights,3305;3312;1409;1406,"1409
"
0152-9668,,,80785,ANNCHA,Annales des Ponts et Chaussees,3305;3313,
0003-3944,,,20468,ANNCHI,Annales de chirurgie,2746,
0151-9107,,,22696,ANNCSM,Annales de chimie - Sciences des materiaux,2505,
0151-9638,2214-5451,0151-9638,24248,ANNDER,Annales de Dermatologie et de Vénéréologie,2708,
0003-4401,,,19371,ANNDUR,Annales d'urologie,2748,
0750-7658,,,21854,ANNFAR,Annales Françaises d'Anesthésie et de Réanimation,2703,
0003-4878,,,28571,ANNOCC,Annals of Occupational Hygiene,2739,
0923-7534,1569-8041,0923-7534,28711,ANNONC,Annals of Oncology,2720;2730,
0753-3969,1778-3666,0753-3969,13353,ANNPAL,Annales de Paléontologie,1911,
0242-6498,2213-008X,0242-6498,13010,ANNPAT,Annales de Pathologie,2734,
0294-1260,1768-319X,0294-1260,20470,ANNPLA,Annales de chirurgie plastique esthétique,2746,
2772-6940,2772-6940,,,ANOPES,animal - open space,,"1103
"
1879-7296,1879-730X,1879-7296,19700175205,ANORL,"European Annals of Otorhinolaryngology, Head and Neck diseases",2746;2733,
1696-2818,,,16800154718,ANPC,Anales de pediatria continuada,2735,
2341-2879,2341-2879,,,ANPEDE,Anales de Pediatría (English Edition),,"2735
"
1695-4033,1695-9531,1695-4033,14477,ANPEDI,Anales de Pediatria,2735,
0066-5126,,,12014,ANPSIC,Anuario de Psicología,3200;2738,
1976-1317,2093-7482,1976-1317,10600153312,ANR,Asian Nursing Research,2900,
2352-5800,2352-5819,2352-5800,21100853575,ANREA,Anesthésie & Réanimation,2703,"2703
"
2452-316X,,,21100777184,ANRES,Agriculture and Natural Resources,1100,
2772-283X,2772-283X,,,ANSCIP,Animal - Science Proceedings,,"1103
"
0012-9593,,,25959,ANSENS,Annales scientifiques de l'Ecole normale superieure,2600,
0924-8579,1872-7913,0924-8579,19757,ANTAGE,International Journal of Antimicrobial Agents,2726;2725;2736,
0003-5521,1873-5827,0003-5521,69772,ANTHRO,L'Anthropologie,3314;1207,
2210-6545,,,19900191823,ANTINF,Journal des Anti-infectieux,2725;2736,
0185-1225,,,,ANTRO,Anales de Antropología,,
0887-6185,1873-7897,0887-6185,15375,ANXDIS,Journal of Anxiety Disorders,3203;2738,
1134-7937,,,19600157748,ANYES,Ansiedad y Estrés,3207;3202;2738,
1326-0200,1753-6405,,19605,ANZJPH,Australian and New Zealand Journal of Public Health,2739,
0094-9620,,,,AOAN,American Optometric Association News,,
0570-1783,2090-8377,0570-1783,21100823384,AOAS,Annals of Agricultural Sciences,1106;1103;1102;1111;1110;1108,
0003-9969,1879-1506,0003-9969,24634,AOB,Archives of Oral Biology,2733;3500;1307,1803;3612;3505
0002-6417,,,23785,AODF,Alpha Omegan,3500,
2214-9996,,,21100324714,AOGH,Annals of Global Health,2700,
1665-2681,2659-5982,,38551,AOHEP,Annals of Hepatology,2721,
2667-3762,2667-3762,,,AOPR,Advances in Ophthalmology Practice and Research,,"2731
"
0001-2092,,,27052,AORN,AORN Journal,2914,
0361-3682,1873-6289,0361-3682,28094,AOS,"Accounting, Organizations and Society",1402;3312;1407;1802,
1674-2834,2376-6123,,21100913138,AOSL,Atmospheric and Oceanic Science Letters,1910;1902,
1017-995X,,,88000,AOTT,Acta Orthopaedica et Traumatologica Turcica,2746;2732,
0003-682X,1872-910X,0003-682X,12946,APAC,Applied Acoustics,3102,
0168-0072,1873-2461,0168-0072,24726,APAL,Annals of Pure and Applied Logic,2609,
0926-860X,1873-3875,0926-860X,16342,APCATA,"Applied Catalysis A, General",1503;1508,
0926-3373,1873-3883,0926-3373,16343,APCATB,Applied Catalysis B: Environmental,1503;2300;1508,
2212-6708,,,,APCBEE,APCBEE Procedia,,
1872-1508,,,,APCS,Acta Physico Chimica Sinica,,
0306-2619,1872-9118,0306-2619,28801,APEN,Applied Energy,2215;2210;2100;2308,
1133-0740,,,21100375851,APJ,Anuario de Psicología Jurídica,2734;3202;3308,
2162-0989,2162-0989,,21100451398,APJO,Asia-Pacific Journal of Ophthalmology,2731,
2347-5625,2349-6673,,21100886348,APJON,Asia-Pacific Journal of Oncology Nursing,2730;2917,
2305-0500,,,21100389723,APJR,Asian Pacific Journal of Reproduction,2743;1103;3400;1110;2729,
2221-1691,,,20700195024,APJTB,Asian Pacific Journal of Tropical Biomedicine,1301,
2222-1808,,,21100197903,APJTD,Asian Pacific Journal of Tropical Disease,2726;2725,
1995-7645,,,19700169713,APJTM,Asian Pacific Journal of Tropical Medicine,2700,
0307-904X,1872-8480,0307-904X,28065,APM,Applied Mathematical Modelling,2611;2604,
2772-834X,2772-834X,,21101118502,APMATE,Advanced Powder Materials,1503;2503;2501;2101;2508;2506,
0976-0016,,,,APME,Apollo Medicine,,
1029-3132,2589-8213,1029-3132,16400154777,APMRV,Asia Pacific Management Review,1403;1408,
2352-9407,2352-9415,2352-9407,21100420316,APMT,Applied Materials Today,2500,
0168-9274,1873-5460,0168-9274,28067,APNUM,Applied Numerical Mathematics,2612;2605;2604,
0185-3082,,,21100775656,APOET,Acta Poética,3316;1208,
0141-1187,1879-1549,0141-1187,26776,APOR,Applied Ocean Research,2212,
0193-3973,1873-7900,0193-3973,15385,APPDEV,Journal of Applied Developmental Psychology,3204,
0195-6663,1095-8304,0195-6663,29994,APPET,Appetite,3200;2916,
0926-9851,1879-1859,0926-9851,28435,APPGEO,Journal of Applied Geophysics,1908,
0168-1591,1872-9045,0168-1591,24609,APPLAN,Applied Animal Behaviour Science,3403;1103,
2666-4968,2666-4968,,21101101421,APPLES,Applications in Engineering Science,2206;2205;2210,"2200;2210
"
2605-0730,2605-0730,,21100904989,APPR,Atención Primaria Práctica,2714,
0962-1849,,,12023,APPSY,Applied and Preventive Psychology,3202;2739,
1309-1042,1309-1042,,21100254615,APR,Atmospheric Pollution Research,2311;2310;1902,
0212-6567,1578-1275,0212-6567,28018,APRIM,Atencion Primaria,2714,
2666-5239,2666-5239,,21101048281,APSADV,Applied Surface Science Advances,3110;2508,"1600;2508;3104;3110
"
2211-3835,2211-3843,2211-3835,20700195026,APSB,Acta Pharmaceutica Sinica B,3000,
0929-1393,1873-0272,0929-1393,96119,APSOIL,Applied Soil Ecology,2303;1101;1111,
0169-4332,1873-5584,0169-4332,28983,APSUSC,Applied Surface Science,3104;3110;2508;3100;1600,
0921-8831,1568-5527,0921-8831,16325,APT,Advanced Powder Technology,1500;2211,
2666-5069,2666-5069,,21101048534,APUNSM,Apunts Sports Medicine,2732;3612,
0304-3770,1879-1522,0304-3770,16728,AQBOT,Aquatic Botany,1104;1110,
2468-1318,,,,AQDATA,Aquatic Data,,
2214-241X,,,,AQPRO,Aquatic Procedia,,
2352-5134,2352-5134,,21100388419,AQREP,Aquaculture Reports,1104;1103,
0166-445X,1879-1514,0166-445X,24602,AQTOX,Aquatic Toxicology,1104;2307,
0044-8486,1873-5622,0044-8486,29419,AQUA,Aquaculture,1104,
0144-8609,1873-5614,0144-8609,29417,AQUE,Aquacultural Engineering,1104,
0990-7440,,,29436,AQULIV,Aquatic Living Resources,1104,
2352-2267,2352-2275,2352-2267,21100393521,ARA,Archaeological Research in Asia,1204;3302,
1878-5352,1878-5379,1878-5352,19400158709,ARABJC,Arabian Journal of Chemistry,1600;1500,
1579-2129,,,18006,ARBR,Archivos de Bronconeumología (English Edition),2740,"2740
"
0300-2896,1579-2129,0300-2896,18006,ARBRES,Archivos de Bronconeumología,2740,
0188-4409,1873-5487,0188-4409,27544,ARCMED,Archives of Medical Research,2700,
0929-693X,1769-664X,0929-693X,14489,ARCPED,Archives de pédiatrie,2735,
0944-1921,,,24633,ARFIMA,Archive of Fishery and Marine Research,1104,
0969-8043,1872-9800,0969-8043,40907,ARI,Applied Radiation and Isotopes,3108,
1591-0075,,,8300153202,ARPED,Area Pediatrica,2735,
1568-1637,1872-9649,1568-1637,28475,ARR,Ageing Research Reviews,1305;1303;1302;1312;2808,
2590-0056,2590-0056,,21101080486,ARRAY,Array,1700,"1702;1712
"
2590-1095,2590-1095,,,ARRCT,Archives of Rehabilitation Research and Clinical Translation,,"2742;3612
"
2667-1379,2667-1379,,,ARRES,Advances in Redox Research,,"1303
"
2352-3441,2352-3441,,21100445819,ARTD,Arthroplasty Today,2746;2732,
2529-9123,2529-9123,,,ARTERE,Clínica e Investigación en arteriosclerosis (English edition),,"2705
"
0214-9168,1578-1879,0214-9168,7200153133,ARTERI,Clinica e Investigacion en Arteriosclerosis,2705;2736,
2211-7660,,,,ARTHE,Acupuncture and Related Therapies,,
0004-3702,1872-7921,0004-3702,23675,ARTINT,Artificial Intelligence,1203;3310;1702,
0933-3657,1873-2860,0933-3657,24140,ARTMED,Artificial Intelligence In Medicine,2701;1702,
1872-9312,,,6400153108,ARTRES,Artery Research,2702;2705;2737,
0863-5412,,,26933,ARZTHU,Aerzteblatt Thueringen,2700,
0021-8502,1879-1964,0021-8502,15759,AS,Journal of Aerosol Science,2305;2310;2210;1507;1902,
2213-1337,2213-1345,2213-1337,21100241218,ASCOM,Astronomy and Computing,3103;1706;1912,
1467-8039,1873-5495,1467-8039,19156,ASD,Arthropod Structure and Development,1105;1309;1109,
2090-4479,2090-4495,2090-4479,19700200705,ASEJ,Ain Shams Engineering Journal,2200,
